Nome,Coluna,Variavel,Apath 4.00,Tipo,CompWhere,Tamanho banco,Apath tabela,Apath tabela pai
fq72309,noq720883,infAdicXTexto,nfeProc/NFe/infNFe/infAdic/obsCont/xTexto,String,noq720880 = 'c',20,,
fq72309,noq720652,id,${chaveDeAcesso},String,noq720880 = 'f',50,nfeProc/NFe/infNFe/infAdic/obsFisco,
fq72309,noq720880,ctipoObservacao,${compWhere},String,noq720880 = 'f',50,,
fq72309,noq720849,nSequencia,${sequence},Integer,noq720880 = 'f',10,,
fq72309,noq720882,infAdicXCampo,nfeProc/NFe/infNFe/infAdic/obsFisco/@xCampo,String,noq720880 = 'f',20,,
fq72309,noq720883,infAdicXTexto,nfeProc/NFe/infNFe/infAdic/obsFisco/xTexto,String,noq720880 = 'f',20,,
fq72310,npq720652,id,${chaveDeAcesso},String,,50,nfeProc/NFe/infNFe/infAdic/procRef,
fq72310,npq720849,nSequencia,${sequence},Integer,,10,,
fq72310,npq720886,nProc,nfeProc/NFe/infNFe/infAdic/procRef/nProc,String,,60,,
fq72310,npq720887,indProc,nfeProc/NFe/infNFe/infAdic/procRef/indProc,String,,1,,
fq72311,ncq720652,id,${chaveDeAcesso},String,,50,nfeProc/NFe/infNFe/det/prod/DI/adi,nfeProc/NFe/infNFe/det
fq72311,ncq720889,nSequencia,${parentSequence},Integer,,100,,
fq72311,ncq720850,nSequenciaAdi,${sequence},Integer,,3,,
fq72311,ncq720900,nSequenciaSeqAdic,nfeProc/NFe/infNFe/det/prod/DI/adi/nSeqAdic,Integer,,3,,
fq72311,ncq720901,nAdicao,nfeProc/NFe/infNFe/det/prod/DI/adi/nAdicao,Integer,,3,,
fq72311,ncq720902,cFabricante,nfeProc/NFe/infNFe/det/prod/DI/adi/cFabricante,String,,60,,
fq72311,ncq720903,vDescDI,nfeProc/NFe/infNFe/det/prod/DI/adi/vDescDI,Integer,,15,,
fq72311,ncq721213,nDraw,nfeProc/NFe/infNFe/det/prod/DI/adi/nDraw,Integer,,11,,
fq72312,nbq720652,id,${chaveDeAcesso},String,,50,nfeProc/NFe/infNFe/det/prod/DI,nfeProc/NFe/infNFe/det
fq72312,nbq720889,nItem,${parentSequence},Integer,,10,,
fq72312,nbq720849,nSequencia,${sequence},Integer,,3,,
fq72312,nbq720891,nDI,nfeProc/NFe/infNFe/det/prod/DI/nDI,String,,20,,
fq72312,nbq720892,dDI,nfeProc/NFe/infNFe/det/prod/DI/dDI,String,,20,,
fq72312,nbq720893,xLocDesemb,nfeProc/NFe/infNFe/det/prod/DI/xLocDesemb,String,,60,,
fq72312,nbq720894,UFDesemb,nfeProc/NFe/infNFe/det/prod/DI/UFDesemb,String,,2,,
fq72312,nbq720895,dDesemb,nfeProc/NFe/infNFe/det/prod/DI/dDesemb,String,,20,,
fq72312,nbq720896,cExportador,nfeProc/NFe/infNFe/det/prod/DI/cExportador,String,,60,,
fq72312,nbq721208,tpViaTransp,nfeProc/NFe/infNFe/det/prod/DI/tpViaTransp,Integer,,2,,
fq72312,nbq721209,vAFRMM,nfeProc/NFe/infNFe/det/prod/DI/vAFRMM,Decimal,,15,,
fq72312,nbq721210,tpIntermedio,nfeProc/NFe/infNFe/det/prod/DI/tpIntermedio,Integer,,1,,
fq72312,nbq721211,cnpj,nfeProc/NFe/infNFe/det/prod/DI/CNPJ,Integer,,14,,
fq72312,nbq721212,ufTerceiro,nfeProc/NFe/infNFe/det/prod/DI/UFTerceiro,String,,2,,
fq72313,ngq720652,id,${chaveDeAcesso},String,,50,nfeProc/NFe/infNFe/det/prod/veicProd,nfeProc/NFe/infNFe/det
fq72313,ngq720653,nSequencia,${sequence},Integer,,3,,
fq72313,ngq720906,tpOp,nfeProc/NFe/infNFe/det/prod/veicProd/tpOp,Integer,,1,,
fq72313,ngq720907,chassi,nfeProc/NFe/infNFe/det/prod/veicProd/chassi,String,,20,,
fq72313,ngq720908,cCor,nfeProc/NFe/infNFe/det/prod/veicProd/cCor,String,,10,,
fq72313,ngq720909,xCor,nfeProc/NFe/infNFe/det/prod/veicProd/xCor,String,,40,,
fq72313,ngq720910,pot,nfeProc/NFe/infNFe/det/prod/veicProd/pot,String,,10,,
fq72313,ngq720911,cm,nfeProc/NFe/infNFe/det/prod/veicProd/CM3,String,,10,,
fq72313,ngq720912,cilin,nfeProc/NFe/infNFe/det/prod/veicProd/cilin,String,,8,,
